Country,Arrivals,Log Arrivals,HDI,Political Status,Heritage Sites,Inflation Rate,Corruption Index,Pollution Level
Morocco,12289000,16.32421511,0.671,Closed Autocracy,9,0.7546632,40,28.01615651
Mozambique,2743000,14.82456277,0.45,Electoral Autocracy,1,15.113208,25,18.75479866
Myanmar,3551000,15.08273981,0.58,Electoral Autocracy,1,4.5725365,30,28.1336718
Namibia,1557000,14.25827145,0.634,Electoral Democracy,2,6.1457996,51,19.73912251
Nepal,1173000,13.97507513,0.581,Electoral Democracy,4,3.6270962,31,64.64427161
Netherlands,18780000,16.74830303,0.936,Liberal Democracy,10,1.3814588,82,12.7176558
New Zealand,3686000,15.12005242,0.935,Liberal Democracy,3,1.8507876,89,6.829076186
Nicaragua,1256000,14.04344263,0.656,Electoral Autocracy,2,3.8506718,26,19.19721806
Niger,157000,11.96400108,0.377,Electoral Democracy,3,2.7963731,33,88.7878832
Nigeria,1966000,14.49151158,0.528,Electoral Democracy,2,16.502266,27,63.20530513
North Macedonia,707000,13.46878594,0.789,Electoral Democracy,2,1.3516189,35,30.4645094
Norway,5688000,15.55386925,0.959,Liberal Democracy,8,1.8751006,85,6.521558082
Oman,2301000,14.64885437,0.833,Closed Autocracy,5,1.5890942,44,48.70468521
Panama,1785000,14.39492897,0.814,Electoral Democracy,5,0.8755859,37,13.84475303
Papua New Guinea,140000,11.8493977,0.553,Electoral Autocracy,1,5.4220457,29,15.93042253
Paraguay,1181000,13.9818721,0.739,Electoral Democracy,1,3.6024773,29,10.28797803
Peru,4419000,15.30142398,0.765,Electoral Democracy,12,2.9949005,37,32.70830669
Philippines,7168000,15.78513723,0.7,Electoral Democracy,6,2.8531878,34,18.33270181
Poland,19622000,16.79216194,0.874,Electoral Democracy,16,2.0759356,60,22.26317187
Portugal,16186000,16.59965723,0.857,Liberal Democracy,15,1.3686141,63,9.255198044
Rwanda,1619000,14.29731923,0.52,Electoral Autocracy,0,8.279536,55,30.35535274
Sao Tome and Principe,33400,10.41631118,0.604,Electoral Democracy,0,5.690296,46,21.30752024
Saudi Arabia,15334000,16.54558314,0.849,Closed Autocracy,4,-0.8381946,49,59.44024848
Serbia,1711000,14.35258855,0.802,Electoral Autocracy,5,3.1310625,41,26.2823086
Seychelles,362000,12.79939949,0.798,Liberal Democracy,2,2.8567958,60,9.847947439
Sierra Leone,57000,10.95080655,0.448,Electoral Democracy,0,18.22151,30,44.70737676
Singapore,14673000,16.50151963,0.938,Electoral Autocracy,1,0.5762603,84,16.07688405
Slovenia,4425000,15.30278084,0.912,Liberal Democracy,4,1.4291074,61,16.50269644
Solomon Islands,27900,10.23638197,0.566,Electoral Democracy,1,0.48868677,39,13.43405834
South Africa,10472000,16.16421559,0.725,Electoral Democracy,9,5.1842465,43,23.7549374
Spain,82808000,18.23203523,0.896,Liberal Democracy,46,1.9560764,57,10.43666705
Sri Lanka,2334000,14.66309409,0.77,Electoral Democracy,8,7.704138,38,18.34920163
Sudan,836000,13.63638389,0.52,Electoral Autocracy,3,32.351627,16,59.81684485
Sweden,7440000,15.82238141,0.941,Liberal Democracy,15,1.794499,84,6.061803567
Switzerland,11715000,16.27638063,0.955,Liberal Democracy,13,0.53378785,85,9.914814645
Tanzania,1378000,14.13614373,0.517,Electoral Autocracy,7,5.318716,36,21.00066031
Thailand,38178000,17.45776999,0.795,Closed Autocracy,5,0.6656319,37,27.10067447
Togo,573000,13.258641,0.522,Electoral Autocracy,1,-0.98188984,32,58.24504946
Trinidad and Tobago,375500,12.83601375,0.811,Liberal Democracy,0,1.8803844,41,25.39889158
Tunisia,8299000,15.93164558,0.732,Electoral Democracy,8,5.3088484,42,22.57175707
Uganda,1506000,14.22496769,0.534,Electoral Autocracy,3,5.2097173,26,32.23969928
Ukraine,14104000,16.461969,0.771,Electoral Autocracy,7,14.438323,30,15.65854285
United Arab Emirates,20214000,16.82188599,0.898,Closed Autocracy,1,1.9668256,71,44.24850564
United Kingdom,38664000,17.47041949,0.929,Liberal Democracy,32,2.5577557,82,10.38142014
United States,79745920,18.19435614,0.928,Liberal Democracy,24,2.13011,75,7.790405844
Uruguay,3469000,15.05937693,0.815,Liberal Democracy,2,6.218094,70,10.0613622
Vanuatu,115600,11.65789124,0.599,Electoral Democracy,1,3.0845263,43,13.67133279
